,subj,sex,age,CloseFriendsG1,CloseFriendsG2,CloseFriendsG3,CloseFriendsG4,CloseFriendsG5,CloseFriendsG6,NumberFriendsG1,intl,vocal,classical,folk,rock,country,pop,alternative,hiphop,unclassifiable,Pop1,Pop2,Pop3,Pop4,Pop5,Common1,Common1.1,Common2,Common3,Common4,Tech1,Tech2,Common5,Common6,Tech3,Tech4,Common7,Tech5,Common8,Common9,Common10,Common11,Common12,Common13,Tech6,Tech7,Common14,Common15,Common16,Common17,Common18,Common19,Tech8,Common20,Tech9,Tech10,Common21,Common22,Common23,Common24,Tech11,Tech12,Tech13,Tech14,Tech15,Common25,Common26,Tech16,Common27,Common28,Tech17,Common29,Common30,Tech18,Tech19,Common31,Common32,Common33,Tech20,Common34,Tech21,Common35,Common36,Common37,Tech22,Tech23,Tech24,Tech25,Common38,Common39
93,p134,Female,19,4,0,0,0,0,0,3,0,7,2,0,1,0,0,5,0,0,8,1,1,1,1,1,2,1,1,1,1,1,1,5,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,4,1,1,1,5,1,4,1,1,1,1,1,1
94,p135,Female,18,2,0,0,2,0,0,0,0,0,3,0,0,0,1,1,0,0,41,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,5,5,1,1,1,1,1,1,1,4,1,1,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,4,1,5,1,1,1,1
95,p136,Male,41,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1
96,p137,Female,19,7,0,0,2,0,0,2,0,0,0,0,4,0,2,1,0,0,27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
97,p138,Male,20,15,0,0,0,0,0,1,0,1,0,0,1,0,2,0,0,0,8,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,5,5,1,1,1,1,1,1,1,1,1
98,p139,Female,18,3,0,0,1,1,0,3,3,0,0,0,5,0,0,0,0,0,42,5,3,1,1,4,1,1,1,1,1,1,5,1,1,1,1,1,5,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,5,1,1,1,5,1,5,1,1,1,1,1,1
99,p140,Female,27,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,59,5,1,1,2,1,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,5,1,5,1,4,1,1,1,1,1,1
100,p141,Male,18,11,2,0,2,0,0,1,0,4,3,0,0,0,0,2,4,0,26,5,5,5,2,1,3,1,1,1,1,1,1,5,1,1,1,1,5,1,1,5,1,1,1,1,5,5,1,1,1,1,1,5,1,1,4,1,1,4,1,1,1,1,1,1,1,1,5,4,1,2,1,1,1,1,1,5,1,5,1,5,5,4,1,1,1,1,1,5
101,p142,Female,21,6,0,0,0,0,0,2,0,0,5,1,5,0,1,4,0,0,33,5,1,1,3,1,1,1,1,1,1,1,1,5,1,1,2,1,5,1,1,5,1,1,1,1,1,1,1,1,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,5,1,5,1,1,5,5,1,1,1,1,1,5
102,p143,Male,18,8,0,0,0,0,0,1,0,7,0,3,2,0,1,4,0,0,53,1,1,1,1,1,2,3,1,3,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,4,1,1,4,1,1,1,1,1,4,1,1,1,4,1,2,1,1,1,1,3,1,1,1,1,5,1,1,1,1,1,1,1,1
103,p144,Male,18,6,0,0,0,0,0,2,0,5,5,0,4,0,0,1,0,0,17,1,1,1,1,1,4,1,1,1,1,1,1,5,1,1,1,1,5,1,4,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,5,1,5,1,5,1,5,1,1,1,1,1,5
104,p145,Male,18,9,1,1,1,0,0,5,0,0,0,0,15,0,0,2,0,0,54,5,5,1,3,2,1,1,1,1,1,1,5,1,1,1,1,1,5,1,4,1,1,1,1,1,1,1,1,1,5,1,1,3,1,1,4,1,1,1,1,1,1,1,1,1,1,1,5,1,1,2,1,1,1,1,3,5,1,5,1,5,1,4,1,1,1,1,1,1
105,p146,Female,18,13,2,0,0,0,0,5,0,1,4,0,5,0,0,5,0,0,61,5,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,5,1,1,1,5,1,1,1,1,1,1,1,1
106,p147,Female,20,6,0,0,0,0,0,0,0,1,3,0,0,0,1,0,3,0,32,5,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
107,p148,Male,19,9,0,1,1,0,0,3,0,5,0,0,1,0,3,3,0,0,38,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,5,1,5,5,1,1,1,1,4,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,5,1,1,2,1,1,1,1,3,5,1,1,1,4,1,4,1,1,1,1,1,1
108,p149,Female,18,8,0,1,0,2,0,0,0,0,0,0,2,0,4,5,4,0,57,5,3,5,3,2,1,1,1,1,1,1,5,5,1,1,1,1,5,1,1,1,1,1,1,1,3,3,5,5,1,5,5,5,1,1,5,1,5,5,1,1,5,1,1,1,1,5,1,1,1,2,4,1,1,1,1,5,1,5,1,5,5,5,5,1,1,1,1,1
109,p150,Female,22,7,0,0,0,0,0,0,0,1,2,0,3,0,4,1,2,0,60,5,2,1,1,4,1,1,1,1,1,1,5,5,1,5,1,1,5,3,1,5,1,1,1,5,5,1,1,5,5,5,1,1,5,1,4,1,1,1,1,1,1,1,1,3,2,1,1,1,5,5,1,1,5,1,3,5,1,5,1,5,5,5,1,5,1,1,1,5
110,p151,Male,18,9,2,0,1,0,1,7,0,5,0,2,6,0,1,1,4,0,36,1,1,1,1,2,1,1,1,3,1,1,5,5,1,1,1,1,4,1,1,1,1,1,1,1,3,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,2,5,1,1,1,5,5,1,1,1,1,1,1,1,1,1,1,1,1
111,p152,Male,18,7,4,2,0,0,0,6,0,6,4,0,4,0,3,1,2,0,39,5,3,1,2,2,1,1,1,1,1,4,5,5,1,1,1,1,5,1,5,2,5,1,1,1,3,1,1,1,1,3,1,3,1,1,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,2,1,1,1,2,1,5,1,1,1,5,1,5,1,1,1,1,1,1
112,p153,Female,19,6,0,0,0,0,0,3,0,3,1,1,4,0,0,3,0,0,7,5,3,1,1,2,4,4,1,3,1,1,1,1,1,5,1,2,5,1,4,5,2,1,1,1,5,1,1,1,1,5,5,5,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,5,1,5,1,1,1,5,1,5,1,1,1,1,4,1
113,p154,Female,18,6,0,0,0,0,0,2,0,0,2,2,1,0,0,13,1,0,50,1,1,1,3,1,1,1,1,3,1,1,5,5,1,1,1,5,5,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,2,1,1,1,1,1,5,1,1,1,5,1,5,1,1,1,1,1,1
114,p156,Female,20,4,0,0,1,0,0,3,0,0,0,5,0,0,0,5,0,0,29,5,1,1,4,1,1,4,1,1,1,1,5,5,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,5,1,5,1,1,1,5,1,5,1,1,1,1,1,1
115,p157,Female,18,4,0,0,0,0,0,4,0,0,2,0,2,0,1,0,1,0,50,5,5,5,4,3,4,5,1,1,5,5,5,5,5,5,1,5,5,5,4,5,5,5,5,5,5,1,5,1,5,5,5,5,5,1,1,5,5,4,1,1,5,1,5,1,5,5,5,4,5,5,5,5,3,1,5,5,3,5,5,5,5,5,4,4,1,5,1,1
116,p159,Female,18,8,1,0,1,0,0,2,0,3,2,0,2,0,1,1,1,0,62,5,1,1,4,2,1,1,1,1,1,1,5,5,1,1,1,1,5,1,4,1,1,5,1,1,1,1,1,5,5,1,1,3,5,1,4,1,1,1,1,1,1,1,1,3,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,5,1,5,1,1,1,1,1,5
117,p160,Female,22,7,0,0,0,0,0,6,0,0,0,0,0,2,2,0,2,0,23,5,3,1,3,2,1,5,1,1,1,1,1,1,1,1,1,5,4,1,5,4,5,1,1,1,1,5,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,5,1,5,1,1,1,5,1,5,1,5,1,5,1,4,1,1,1,1,1,5
118,p161,Female,30,15,0,0,0,0,0,0,0,8,11,1,1,7,3,2,4,0,60,5,3,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,1,1,1,1,1,1,1,1,1,1,1,3,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,1
