,subj,sex,age,CloseFriendsG1,CloseFriendsG2,CloseFriendsG3,CloseFriendsG4,CloseFriendsG5,CloseFriendsG6,NumberFriendsG1,intl,vocal,classical,folk,rock,country,pop,alternative,hiphop,unclassifiable,Pop1,Pop2,Pop3,Pop4,Pop5,Common1,Common1.1,Common2,Common3,Common4,Tech1,Tech2,Common5,Common6,Tech3,Tech4,Common7,Tech5,Common8,Common9,Common10,Common11,Common12,Common13,Tech6,Tech7,Common14,Common15,Common16,Common17,Common18,Common19,Tech8,Common20,Tech9,Tech10,Common21,Common22,Common23,Common24,Tech11,Tech12,Tech13,Tech14,Tech15,Common25,Common26,Tech16,Common27,Common28,Tech17,Common29,Common30,Tech18,Tech19,Common31,Common32,Common33,Tech20,Common34,Tech21,Common35,Common36,Common37,Tech22,Tech23,Tech24,Tech25,Common38,Common39
144,p85,Female,20,6,0,0,2,0,0,3,0,0,0,0,1,0,0,2,8,0,58,5,1,1,3,4,4,1,1,3,1,1,5,5,1,1,1,1,5,5,5,1,5,1,1,1,4,1,1,1,5,1,1,5,1,5,1,1,4,1,1,1,1,1,1,1,5,1,1,5,1,5,1,5,1,1,1,5,1,5,5,5,3,5,1,1,1,1,1,1
145,p86,Male,21,6,0,0,0,0,0,6,0,1,0,0,1,0,0,0,2,0,22,1,1,1,1,1,3,5,1,2,1,5,5,5,1,1,1,1,5,1,1,5,1,1,1,1,1,1,1,1,5,5,1,3,1,1,1,1,1,4,1,1,1,1,1,1,1,1,5,1,5,4,1,1,1,1,3,5,1,5,1,5,1,1,1,1,1,1,1,5
146,p87,Female,20,6,0,0,0,0,0,3,0,1,0,0,1,1,1,1,1,0,38,5,1,1,3,2,5,1,1,1,5,5,5,5,5,5,1,2,1,1,1,1,1,1,5,1,1,1,1,1,5,1,1,5,5,1,1,1,1,1,1,1,1,5,5,1,1,1,4,1,5,1,1,1,1,1,1,1,3,1,1,1,1,1,1,5,5,1,1,5
147,p88,Female,19,8,2,1,1,0,0,13,0,0,0,0,1,0,2,0,5,0,8,5,2,1,5,6,4,1,1,3,5,5,5,5,1,1,1,3,4,5,1,5,1,5,1,1,5,1,1,1,5,1,1,5,1,1,1,2,5,4,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,5,3,5,1,5,1,5,5,5,1,5,1,1,1,1
148,p89,Female,19,8,0,0,0,0,1,0,0,0,0,0,4,0,0,7,0,0,64,5,1,1,4,1,5,5,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1,1,2,1,1,5,1,1,1,1,5,5,1,1,1,5,1,5,1,1,1,5,1,5,1,5,1,1,1,1
149,p90,Female,19,9,1,0,0,0,0,3,0,0,0,0,2,2,1,0,1,0,30,5,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,1,1,1,1,5,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,5,1,1,1,5,1,5,1,1,1,1,1,1
150,p91,Female,21,8,0,0,0,1,0,4,0,1,0,0,2,1,2,2,4,0,50,5,3,1,3,3,5,1,1,1,1,1,5,1,1,1,1,5,5,1,1,5,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,2,1,1,1,5,1,5,1,1,1,5,1,1,1,1,1,1,1,1
151,p92,Female,19,2,1,1,0,0,0,3,0,0,0,0,1,0,3,1,0,0,19,5,5,5,3,1,5,1,1,2,1,1,5,5,1,1,2,1,5,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,1,1,2,1,1,5,1,1,1,1,3,5,1,5,1,5,1,5,1,1,1,1,1,5
152,p94,Male,18,6,5,1,3,0,0,3,0,0,0,0,5,0,0,5,5,0,61,5,3,1,1,3,3,1,1,1,1,1,5,5,5,1,1,1,5,1,4,5,5,1,1,1,1,5,1,1,5,5,1,3,2,1,5,1,4,4,3,1,1,1,1,1,5,1,4,5,1,5,5,1,1,5,3,5,1,5,1,5,5,5,1,1,1,1,1,5
153,p95,Female,18,2,0,0,0,6,0,0,2,2,0,0,0,0,4,4,0,0,30,1,1,3,1,5,3,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,5,1,5,1,1,1,5,1,1,1,1,1,1,1,1
154,p96,Male,21,5,0,0,0,0,0,5,0,1,0,1,3,0,0,0,0,0,5,5,3,5,3,1,5,1,1,1,1,1,1,4,1,1,1,1,5,1,1,5,1,1,1,1,5,1,1,1,1,1,1,5,1,1,4,1,5,1,1,1,1,1,1,3,5,1,1,1,1,5,5,1,1,1,1,5,1,5,1,2,1,1,1,1,1,1,1,1
155,p97,Female,18,9,0,0,1,0,0,3,0,0,0,1,1,0,3,0,0,1,24,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,5,5,1,1,1,5,1,1,1,1,1,1,1,1
156,p98,Female,20,0,0,4,0,0,0,3,5,0,0,0,5,0,0,6,0,0,25,5,1,1,3,1,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,1,1,1,1,1,1
